goals;yellowCards;redCards;groundDuelsWon;groundDuelsWonPercentage;aerialDuelsWon;aerialDuelsWonPercentage;successfulDribbles;successfulDribblesPercentage;tackles;assists;accuratePassesPercentage;totalDuelsWon;totalDuelsWonPercentage;minutesPlayed;wasFouled;fouls;dispossessed;appearances;saves;savedShotsFromInsideTheBox;savedShotsFromOutsideTheBox;goalsConcededInsideTheBox;goalsConcededOutsideTheBox;highClaims;successfulRunsOut;punches;runsOut;accurateFinalThirdPasses;bigChancesCreated;accuratePasses;keyPasses;accurateCrosses;accurateCrossesPercentage;accurateLongBalls;accurateLongBallsPercentage;interceptions;clearances;dribbledPast;bigChancesMissed;totalShots;shotsOnTarget;blockedShots;goalConversionPercentage;hitWoodwork;offsides;expectedGoals;errorLeadToGoal;errorLeadToShot;passToAssist;rating;minutesplayed;player;team
1;7;1;82;53.59;18;33.96;21;61.76;50;4;68.55;100;48.54;2011;11;26;10;25;0;0;0;26;4;0;0;0;0;198;2;680;16;14;25.93;77;36.32;28;44;23;0;28;11;3;3.57;0;0;0.0;0;0;0;6.83;2011;Bernardo Cerezo;Ñublense
1;4;0;151;54.51;22;59.46;33;49.25;78;2;72.96;173;55.1;2512;40;32;32;30;0;0;0;35;3;0;0;0;0;220;4;726;31;15;15.96;50;34.48;35;40;30;1;22;7;6;4.55;0;3;0.0;0;0;0;6.82;2512;Fabián Hormazábal;O'Higgins
2;5;1;81;54.0;21;56.76;18;62.07;34;1;71.28;102;54.55;1540;29;28;17;21;0;0;0;24;0;0;0;0;0;130;2;412;24;28;38.36;20;34.48;8;24;15;0;13;4;4;15.38;1;2;0.0;0;0;0;6.82;1540;Antonio Díaz;O'Higgins
1;3;0;21;52.5;8;61.54;5;71.43;11;1;72.31;29;54.72;600;5;7;6;10;0;0;0;4;0;0;0;0;0;45;0;175;5;4;36.36;9;34.62;5;9;5;0;8;4;0;12.5;0;1;0.0;0;0;0;6.82;600;Óscar Opazo;Colo Colo
0;1;0;11;73.33;10;62.5;1;100.0;9;0;78.79;21;67.74;486;1;1;2;11;0;0;0;8;0;0;0;0;0;13;0;130;0;0;0.0;18;51.43;11;30;1;0;5;0;0;0.0;0;0;0.0;0;0;0;6.82;486;Diego Monreal;Audax Italiano
2;0;0;5;41.67;8;61.54;0;0.0;5;0;75.38;13;52.0;530;0;3;0;8;0;0;0;9;1;0;0;0;0;11;0;196;0;1;20.0;19;37.25;9;23;2;0;5;2;0;40.0;0;0;0.0;0;0;0;6.81;530;Kennet Lara Arbunic;Curicó Unido
1;3;0;33;62.26;39;79.59;1;50.0;19;0;86.69;72;70.59;2028;13;15;2;24;0;0;0;31;6;0;0;0;0;100;1;1094;7;2;100.0;105;57.07;31;87;4;0;8;2;0;12.5;0;1;;0;0;0;6.81;2028;Christian Vilches;Deportes Magallanes
1;5;0;38;74.51;23;44.23;1;100.0;22;0;81.69;61;59.22;1379;15;4;3;20;0;0;0;24;6;0;0;0;0;50;0;580;5;0;0.0;98;59.04;19;77;7;1;5;3;0;20.0;0;1;;0;0;0;6.81;1379;Omar Merlo;Curicó Unido
1;6;0;52;66.67;36;61.02;6;66.67;25;1;82.13;88;64.23;2409;21;17;2;28;0;0;0;32;7;0;0;0;0;82;0;1002;4;1;33.33;118;48.36;28;112;6;1;6;1;1;16.67;1;2;0.0;0;2;0;6.8;2409;Tomás Astaburuaga;Unión La Calera
0;0;0;3;75.0;0;0.0;2;66.67;0;0;72.73;3;50.0;28;1;0;0;3;0;0;0;0;0;0;0;0;0;5;0;8;3;0;0.0;0;0.0;1;0;0;0;2;0;0;0.0;0;0;;0;0;0;6.8;28;Andrés Segovia;Unión Española
