goals;yellowCards;redCards;groundDuelsWon;groundDuelsWonPercentage;aerialDuelsWon;aerialDuelsWonPercentage;successfulDribbles;successfulDribblesPercentage;tackles;assists;accuratePassesPercentage;totalDuelsWon;totalDuelsWonPercentage;minutesPlayed;wasFouled;fouls;dispossessed;appearances;saves;savedShotsFromInsideTheBox;savedShotsFromOutsideTheBox;goalsConcededInsideTheBox;goalsConcededOutsideTheBox;highClaims;successfulRunsOut;punches;runsOut;accurateFinalThirdPasses;bigChancesCreated;accuratePasses;keyPasses;accurateCrosses;accurateCrossesPercentage;accurateLongBalls;accurateLongBallsPercentage;interceptions;clearances;dribbledPast;bigChancesMissed;totalShots;shotsOnTarget;blockedShots;goalConversionPercentage;hitWoodwork;offsides;expectedGoals;errorLeadToGoal;errorLeadToShot;passToAssist;rating;player;team
0.34;0.0;0.0;4.6;43.96;0.11;16.67;2.3;51.28;1.38;0.23;76.74;4.71;42.27;90;0.92;0.57;2.76;1.72;0;0;0;0.92;0.0;0;0;0;0;11.95;0.11;22.76;1.72;0.46;22.22;1.15;55.56;0.23;0.34;0.57;0.23;2.64;1.15;0.11;13.04;0.0;0.11;;0;0.0;0;6.8;Jordhy Thompson;Colo Colo
0.0;0.0;0.0;2.0;25.0;6.0;50.0;0.0;0.0;0.0;0.0;71.43;8.0;40.0;90;2.0;0.0;2.0;2.0;0;0;0;4.0;0.0;0;0;0;0;2.0;0.0;10.0;0.0;2.0;100.0;2.0;100.0;0.0;0.0;0.0;0.0;6.0;2.0;0.0;0.0;0.0;0.0;;0;0.0;0;6.8;Wladimir Cid;Coquimbo Unido
0.0;0.0;0.0;5.29;100.0;0.0;0.0;5.29;100.0;0.0;0.0;50.0;5.29;100.0;90;0.0;0.0;0.0;5.29;0;0;0;0.0;0.0;0;0;0;0;10.59;0.0;15.88;5.29;5.29;50.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0;0.0;0;6.8;Cristián Pardo;Universidad de Chile
0.47;0.12;0.12;1.29;24.44;1.64;41.18;0.59;35.71;0.35;0.59;65.84;2.93;31.65;90;0.35;0.94;1.88;1.99;0;0;0;1.53;0.12;0;0;0;0;7.63;0.0;15.61;2.11;0.0;0.0;0.12;25.0;0.47;0.47;0.35;0.23;2.23;1.06;0.23;21.05;0.0;0.94;0.0;0;0.0;0;6.79;Javier Parraguez;Coquimbo Unido
0.18;0.28;0.0;3.41;41.11;1.29;40.0;1.47;69.57;1.01;0.0;71.37;4.7;40.8;90;0.92;1.47;2.4;1.47;0;0;0;0.92;0.09;0;0;0;0;6.72;0.09;14.92;1.47;0.83;40.91;0.55;54.55;0.09;0.92;0.46;0.28;1.93;0.74;0.28;9.52;0.0;0.74;;0;0.0;0;6.79;Luis Riveros;Audax Italiano
0.35;0.17;0.0;4.81;56.7;0.79;40.91;1.22;58.33;2.27;0.0;71.0;5.59;53.78;90;1.31;1.14;1.14;2.1;0;0;0;1.14;0.17;0;0;0;0;6.12;0.09;18.61;1.4;0.52;21.43;0.87;41.67;0.7;0.96;0.7;0.35;1.92;0.87;0.26;18.18;0.0;0.26;0.0;0;0.0;0;6.78;John Valladares Moya;Deportes Copiapó
0.0;0.97;0.0;7.74;44.44;0.97;25.0;2.9;60.0;0.0;0.0;84.0;8.71;40.91;90;4.84;3.87;1.94;3.87;0;0;0;0.0;0.0;0;0;0;0;8.71;0.0;20.32;1.94;0.97;20.0;4.84;100.0;0.0;0.97;1.94;0.0;4.84;0.0;0.97;0.0;0.0;0.0;;0;0.0;0;6.78;Cristian Aravena;Coquimbo Unido
0.0;0.0;0.0;1.33;40.0;3.33;71.43;0.0;0.0;0.67;0.67;77.42;4.67;58.33;90;0.67;0.0;0.67;3.33;0;0;0;2.0;0.0;0;0;0;0;4.0;0.0;16.0;1.33;0.0;0.0;0.0;0.0;0.0;0.0;1.33;0.0;4.0;1.33;0.0;0.0;0.0;0.67;;0;0.0;0;6.76;Felipe Cadenazzi;Deportes Magallanes
0.27;0.2;0.0;1.77;29.21;1.16;34.0;0.95;45.16;0.34;0.14;66.87;2.93;30.94;90;0.48;1.02;1.22;1.84;0;0;0;0.95;0.34;0;0;0;0;7.01;0.27;15.24;1.5;0.75;44.0;1.09;57.14;0.34;0.54;0.95;0.27;2.52;0.82;0.48;10.81;0.07;0.41;0.0;0;0.0;0;6.76;Sebastián Lomónaco;Unión La Calera
0.36;0.24;0.0;2.98;29.94;0.77;37.14;1.73;52.73;0.36;0.24;68.51;3.75;31.19;90;0.89;1.55;3.4;1.31;0;0;0;0.6;0.18;0;0;0;0;5.78;0.3;11.79;1.43;0.24;44.44;0.18;30.0;0.06;0.12;0.6;0.24;1.97;0.95;0.36;18.18;0.0;0.54;0.0;0;0.0;0;6.76;Damián Pizarro;Colo Colo
0.08;0.24;0.0;1.42;32.73;5.77;63.48;0.24;50.0;0.55;0.08;66.93;7.19;53.53;90;0.63;1.42;0.71;1.98;0;0;0;1.66;0.16;0;0;0;0;6.64;0.24;20.15;1.03;0.0;0.0;0.71;47.37;0.24;1.34;0.55;0.32;4.11;0.71;1.26;1.92;0.16;1.58;;0;0.0;0;6.76;Tobías Figueroa;Curicó Unido
0.41;0.1;0.0;2.24;36.07;1.22;27.91;0.31;20.0;0.71;0.2;64.97;3.46;32.69;90;1.22;0.81;1.73;1.22;0;0;0;1.32;0.2;0;0;0;0;4.89;0.31;11.71;0.61;0.0;0.0;0.2;40.0;0.2;0.41;0.31;0.41;2.44;0.92;0.41;16.67;0.0;0.71;0.0;0;0.0;0;6.75;Agustín Rodríguez;Unión La Calera
0.25;0.25;0.05;3.26;35.96;1.22;27.27;0.97;46.34;0.87;0.0;71.98;4.48;33.08;90;1.43;2.65;1.83;1.38;0;0;0;1.32;0.0;0;0;0;0;7.59;0.05;15.18;1.58;0.0;0.0;0.66;65.0;0.31;0.71;0.46;0.2;3.01;0.87;0.87;8.47;0.0;0.56;0.0;0;0.0;0;6.75;Nicolás Guerra;Universidad de Chile
