goals;yellowCards;redCards;groundDuelsWon;groundDuelsWonPercentage;aerialDuelsWon;aerialDuelsWonPercentage;successfulDribbles;successfulDribblesPercentage;tackles;assists;accuratePassesPercentage;totalDuelsWon;totalDuelsWonPercentage;minutesPlayed;wasFouled;fouls;dispossessed;appearances;saves;savedShotsFromInsideTheBox;savedShotsFromOutsideTheBox;goalsConcededInsideTheBox;goalsConcededOutsideTheBox;highClaims;successfulRunsOut;punches;runsOut;accurateFinalThirdPasses;bigChancesCreated;accuratePasses;keyPasses;accurateCrosses;accurateCrossesPercentage;accurateLongBalls;accurateLongBallsPercentage;interceptions;clearances;dribbledPast;bigChancesMissed;totalShots;shotsOnTarget;blockedShots;goalConversionPercentage;hitWoodwork;offsides;expectedGoals;errorLeadToGoal;errorLeadToShot;passToAssist;rating;minutesplayed;player;team
2;7;2;62;49.21;10;40.0;16;69.57;23;5;72.97;72;47.68;1345;23;11;23;22;0;0;0;16;4;0;0;0;0;190;5;513;31;17;25.0;61;57.55;4;3;23;1;36;6;12;5.56;1;2;0.0;0;0;0;6.88;1345;Luis Montes;Everton de Viña del Mar
3;5;0;25;33.33;3;27.27;6;50.0;10;4;82.0;28;32.56;991;9;20;11;21;0;0;0;16;3;0;0;0;0;141;1;483;24;13;34.21;42;61.76;4;4;14;1;20;9;5;15.0;0;0;0.0;0;0;0;6.88;991;Cristóbal Jorquera;Deportes Magallanes
2;4;0;69;51.49;18;48.65;8;47.06;46;0;74.82;87;50.88;1966;15;19;16;25;0;0;0;18;5;0;0;0;0;204;0;627;22;8;22.22;62;50.0;28;21;23;0;18;2;4;11.11;1;1;0.0;0;0;0;6.87;1966;César Fuentes;Colo Colo
3;5;0;67;38.95;10;33.33;21;42.0;28;3;66.6;77;38.12;2036;18;24;26;26;0;0;0;25;4;0;0;0;0;138;10;349;40;46;23.71;28;45.9;10;9;27;3;36;15;4;8.33;0;14;0.0;1;0;0;6.86;2036;Rubén Farfán;Coquimbo Unido
1;3;0;49;39.84;18;40.91;8;40.0;31;4;80.34;67;40.12;1911;10;23;11;25;0;0;0;23;1;0;0;0;0;225;4;715;29;14;29.79;50;61.73;17;27;29;0;21;6;6;4.76;0;0;0.0;0;0;0;6.86;1911;Ignacio Núñez;Unión Española
2;1;0;39;39.39;10;47.62;3;21.43;22;3;80.03;49;40.83;1107;14;11;20;25;0;0;0;17;5;0;0;0;0;193;6;513;37;14;29.79;64;69.57;7;11;18;2;21;9;7;9.52;0;0;0.0;0;0;0;6.85;1107;Carlos Villanueva;Deportes Magallanes
1;2;0;112;52.34;17;45.95;31;59.62;36;1;77.72;129;51.39;2062;45;38;25;27;0;0;0;26;1;0;0;0;0;222;1;642;34;23;27.38;43;45.26;18;22;21;1;37;11;10;2.7;1;4;0.0;0;0;0;6.85;2062;Israel Poblete;Universidad de Chile
2;8;0;134;55.14;26;42.62;28;70.0;68;0;75.79;160;52.63;2352;38;38;23;27;0;0;0;31;5;0;0;0;0;184;0;980;15;1;20.0;115;50.44;40;24;37;1;21;3;4;9.52;1;1;;1;0;0;6.84;2352;Agustín Farías;Palestino
1;1;0;37;60.66;8;53.33;11;84.62;21;1;75.4;45;59.21;834;5;5;7;16;0;0;0;15;2;0;0;0;0;73;1;233;9;4;28.57;38;62.3;6;7;10;0;12;3;3;8.33;0;1;;0;0;0;6.84;834;Ariel Martínez;Palestino
5;10;0;77;43.26;18;38.3;19;39.58;41;3;74.86;95;42.22;2045;17;32;32;27;0;0;0;22;2;0;0;0;0;139;3;414;27;16;27.59;13;36.11;14;14;10;3;46;20;8;10.87;0;13;0.0;0;0;0;6.84;2045;César Munder;Cobresal
